출처,index,내용
news.xml,11,버거킹 커뮤니케이션 담당자는 &quot;좋아하는 것을 깊이 파고드는 <b>MZ 세대</b>의 &apos;디깅(Digging)&apos; 요구에 부응하고자 오뚜기 &apos;타바스코&apos;와 함께 새로운 매운맛을 개발하는데 주력했다&quot;며 &quot;버거킹은 국내에서 가장 활발하게... 
news.xml,12,"가상인간 마케팅은 최근 주요 소비층으로 떠오른 &apos;<b>MZ세대</b>&apos; 고객을 확보할 수 있다는 점에서도 유용하게 사용된다. SNS를 적극 활용해 친근함을 주고, 브랜드를 자연스럽게 노출하며 광고효과도 동시에 누릴 수 있기... "
news.xml,13,롯데칠성음료는 하반기에는 <b>MZ세대</b> 공략을 위한 처음처럼 신제품을 선보이고 무알콜 및 기능성 맥주도 추가할 계획이다. 주류업계는 3분기에도 호실적이 이어질 전망이다. 업계 관계자는 “사회적 거리두기가... 
news.xml,14,"14일 방송되는 KBS2 ‘자본주의학교’는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 이... "
news.xml,15,"박 위원이 주목하는 집단은 2030세대인 <b>MZ세대</b>다. 그가 분석하길, 노동소득으로 기성세대를 따라잡지 못하는 이들은 주식·코인·부동산 등 투자처를 안 가리고 베팅한다. 마치 “게임하듯”, “돈 되는 곳은 다 투자”한다.... "
news.xml,16,<b>MZ세대</b>부터 중·장년층까지 그야말로 전 연령대가 반응하고 있다. &apos;헌트&apos;는 조직 내 숨어든 스파이를 색출하기 위해 서로를 의심하는 안기부 요원 박평호와 김정도가 대한민국 1호 암살 작전이라는 거대한 사건과 직면하며... 
news.xml,17,"에스코토스컨설팅, 국내 첫 ‘기업 경청 역량’ 조사 <b>MZ세대</b> “유통·호텔업 여성일수록 경청수준 낮아” 기업은 진짜 직원의 말을 ‘경청할까’. 결론부터 말하면 D학점 수준이다. 전략 커뮤니케이션 컨설팅 기업... "
news.xml,18,먼저 박성웅은 가만히 있어도 숨길 수 없는 누아르 눈빛으로 <b>MZ 세대</b>마저 얼어붙게 만든다. 박성웅이 선물하는 ‘웅탁주’를 애간장 타도록 기다렸다던 세 남자 손님들은 막상 ‘웅보스’와 마주 앉자 두 손과 다리를... 
news.xml,19,"&apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 &apos;불나방 소셜투자클럽&apos;, 창업도전기 &apos;자본주의 식당&apos;을 선보인다. 14일 방송되는... "
news.xml,20,그래서 <b>MZ세대</b>(1980~2000년대 생)는 &apos;부모보다 가난한 첫 세대&apos;라 불린다. 한국 부모들은 자녀에 대한 무분별한 지원이 문제가 된다. 많은 교육비를 투여한 것도 모자라 자녀가 결혼하면 집 팔고 대출받아 지원해주는 것을... 
news.xml,21,"또한 학교 조직 법제화, 지방공무원 인사‧정원, 학교회계 제도, <b>MZ 세대</b> 공무원, 학교업무정상화, 학교시설 개방 등 다양한 주제를 논의했다. 임정호 경기교육포럼 대표는 “경북교육연구회와의 교류 협력은 코로나... "
news.xml,22,워라벨이 중요한 <b>MZ세대</b>의 특성과 환경적 변화가 맞물리면서 이러한 현상이 가속화되고 있다. 그렇다고 애니메이션을 하고 싶어 하는 학생들이 아예 없는 건 아니다. 문제는 이렇게까지 의지와 목표가 뚜렷한 학생들을... 
news.xml,23,"또 휴대폰이 닫힌 상태에서도 문자 메시지에 음성 답장을 보내거나 이모티콘을 보내는 기능도 생겼는데, 참석자들은 &quot;<b>MZ세대</b>가 딱 좋아할 기능들&quot;이라고 입을 모았다. 새로운 멀티 태스킹 기능 중 관심을 끌었던 것은... "
news.xml,24,"커리어플러스는 새로운 도전이나 중장기적인 커리어 플랜을 짜려는 구성원, 특히 <b>MZ세대</b>(밀레니얼+Z세대)를 중심으로 인기를 끌고 있다. LG에너지솔루션은 <b>MZ세대</b>를 중심으로 자유로운 경력 개발, 전문성을 갖추려는... "
news.xml,25,역사상 가장 오래된 &apos;게임&apos;이지만 가상공간에서 호흡하는 젊은 세대의 취향과는 맞지 않다는 지적이 많았다. 위기감에 빠질 수밖에 없는 바둑계는 미래에도 살아남기 위해 <b>MZ세대</b>를 향한 본격적인 구애에 나설 전망이다.
news.xml,26,특급호텔들의 레스토랑과 라운지바 등이 <b>MZ세대</b>들의 맛집으로 부상하고 있다. SNS를 통한 자기표현과 인증을 중요시하는 <b>MZ세대</b>들이 호텔 내 분위기 좋은 식당과 바를 찾으면서 호텔들이 SNS에서 &apos;핫플레이스&apos;로 자리 잡고... 
news.xml,27,"오늘(14일) 밤 9시 20분에 방송되는 KBS 2TV &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 &apos;불나방 소셜투자클럽&apos;, 창업도전기 &apos;자본주의... "
news.xml,28,"롯데칠성음료는 하반기에는 <b>MZ세대</b> 공략을 위한 처음처럼 신제품을 선보이고, 무알콜 및 기능성 맥주도 추가할 계획이다. 주류업계는 3분기에도 호실적이 이어질 전망이다. 업계 한 관계자는 &quot;일각에서는 코로나19... "
news.xml,29,"오늘(14일) 방송되는 KBS 2TV &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의... "
news.xml,30,"14일 오후 9시 20분 방송되는 &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 &apos;불나방 소셜투자클럽&apos;, 창업도전기 &apos;자본주의 식당&apos;을... "
news.xml,31,"14일 방송되는 KBS2 ‘자본주의학교’(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을... "
news.xml,32,이충구는 최근 <b>MZ 세대</b>에 입소문을 타며 흥행 가도에 올라탄 시즌(seezn) 오리지널 &apos;신병&apos; 생활관 에이스 김상훈 일병을 맡아 최고의 싱크로율 연기로 극찬을 받고 있다. 특히 남성 시청자들로부터 &apos;군생활 꿀 태워주는... 
news.xml,33,"신종 코로나바이러스 감염증(코로나19) 이후 야외에서 즐길 수 있는 골프가 주목받으며 <b>MZ세대</b>를 포함한 여성 골퍼가 대폭 늘어난 가운데, 패션 업계에서는 이들을 겨냥해 패션성을 강조한 골프웨어를 쏟아내고 있다.... "
news.xml,34,치솟는 물가에 외식비 급등 하루 지출 확 줄이는 <b>MZ세대</b> 늘어나 지난 7월 소비자물가 상승률이 6.3%까지 치솟으면서 소비 행태가 뒤바뀌고 있다. 특히 명품을 구매하며 플렉스(Flex·과시) 문화를 선도했던 <b>MZ세대</b>... 
news.xml,35,"이재혁 고려대 경영학과 교수를 좌장으로 학계, 기관, 연구원 등에서 활동 중인 ESG 전문가 자문단을 구성한 가운데, 이학종 소풍벤처스 투자 파트너를 좌장으로 환경, 사회 분야 청년 활동가 등으로 구성된 <b>MZ세대</b>... "
news.xml,36,◆다양한 시도로 고객 마음 잡기 나선 증권사 유진투자증권은 <b>MZ세대</b> 대상 건강한 투자문화 조성을 위해 &apos;주식차트 파도타기&apos; 게임을 출시해 고객 관심 끌기에 나섰다. 현대차증권은 마이데이터 서비스에서 실시간으로... 
news.xml,37,"금융권 전반에 메타버스 열풍이 불며 유행처럼 번지며, 마케팅 활동 혹은 <b>MZ세대</b> 어필 활동에 나섰으나 소비자들의 관심이 낮아 생각보다 효과가 낮았다는 것이다. 이밖에 금리 인상을 이유로 보는 관계자들도 있다.... "
news.xml,38,유통업계에서 <b>MZ세대</b> 소비자를 중심으로 ‘한정판 패키지’가 인기를 모으고 있다. 유명 아티스트 및 캐릭터와의 협업 상품이나 여름 감성을 반영한 독특한 디자인의 한정판 제품이 ‘머스트잇템’으로 꼽히며 입소문이... 
news.xml,39,"어린이부터 <b>MZ세대</b>, 중장년층까지 다양한 연령층이 함께 찾을 수 있는 초정행궁을 만들기 위해 더욱 노력할 계획이다. 안용혁 관광정책과장은 “시민이 만족하는 꿀잼 관광도시 청주시를 만들기 위해 현재 진행되고 있는... "
news.xml,40,제주항공의 경우 <b>MZ</b>(밀레니얼+Z<b>세대</b>)<b>세대</b> 대세 캐릭터인 ‘잔망루피’를 브랜드 모델로 활용하고 있다. 잔망루피는 인기 애니메이션 ‘뽀롱뽀롱 뽀로로’에 등장하는 루피 캐릭터가 가지고 있는 다양한 성격 중 익살... 
news.xml,41,"한편, 프리지아는 넷플릭스 예능 ‘솔로지옥’에 출연해 비현실적인 바비인형 외모에 솔직하고 털털한 성격으로 <b>MZ세대</b>들의 우상으로 떠올랐다. 특히 그가 운영하던 유튜브 콘텐츠의 패션 스타일 등도 크게 화제를... "
news.xml,42,화제가 되는 가요·방송계 이슈를 분석해 어제의 이야기를 오늘의 기록으로 남깁니다.<b>MZ세대</b>에게 윤은혜는 연기 잘하는 예쁜 언니다. 특유의 사랑스러운 분위기와 통통 튀는 연기는 밝고 따스한 작품에 잘 녹았고... 
news.xml,43,"오늘(14일) 방송되는 KBS 2TV &apos;자본주의학교&apos;는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 이... "
news.xml,44,"14일 밤 9시 20분에 방송되는 KBS2 예능프로그램 &apos;자본주의학교&apos;에서는 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 이 중 오늘 방송되는 ‘불나방 소셜투자클럽’에서는... "
news.xml,45,먼저 박성웅은 가만히 있어도 숨길 수 없는 누아르 눈빛으로 <b>MZ 세대</b>마저 얼어붙게 만든다. 박성웅이 선물하는 ‘웅탁주’를 애간장 타도록 기다렸다던 세 남자 손님들은 막상 ‘웅보스’와 마주 앉자 두 손과 다리를... 
news.xml,46,"오늘(14일) 밤 9시 20분에 방송되는 KBS 2TV &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 &apos;불나방 소셜투자클럽&apos;, 창업도전기 &apos;자본주의... "
news.xml,47,먼저 박성웅은 가만히 있어도 숨길 수 없는 누아르 눈빛으로 <b>MZ 세대</b>마저 얼어붙게 만든다. 박성웅이 선물하는 ‘웅탁주’를 애간장 타도록 기다렸다던 세 남자 손님들은 막상 ‘웅보스’와 마주 앉자 두 손과 다리를... 
news.xml,48,"14일 밤 9시 20분에 방송되는 KBS2 ‘자본주의학교’는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을... "
news.xml,49,특히 <b>MZ세대</b>를 중심으로 가치와 윤리가 중시되자 뷰티업계도 이를 반영한 비건 제품들로 소비자를 적극 공략하고 있다. 국내 뷰티 업계에 따르면 지난 5년동안 국내 최초 비건 인증기관인 한국비건인증원에서 인증한 비건... 
news.xml,50,코로나19로 급증한 2030 골프 <b>세대</b>가 각종 용품·의류 시장 트렌드마저 바꾸고 있다. 해외 직구를 통해 저렴한... 값비싼 명품 골프 의류를 구매하는 대신 대여로 해결하는 것은 2030<b>세대</b> 사이에서는 이미 대세다. 낮아진... 
news.xml,51,"또 일명 &apos;<b>MZ세대</b>&apos;이기도 한 비비는 솔직하고 과감한 발언을 &apos;복숭아맛&apos; 느낌으로 센스있게 표현하며 한층 더 새로운 분위기를 만들었다. &apos;그린라이트&apos; &apos;로멘트&apos; 등 시청자들의 연애 고민을 나누는 것부터 , 요즘 연애... "
news.xml,52,"지하 1층부터 지상 6층까지, 420평 규모 공간에서 <b>MZ세대</b>(1980년대초∼2000년대초 출생)의 관심사, 트렌드를 반영한 콘텐츠·브랜드 팝업 전시가 이어진다. 일상비일상의틈 앱으로 팝업 전시 및 브랜드 협업, 굿즈 이벤트... "
news.xml,53,"특히 <b>MZ</b>(밀레니얼+Z)<b>세대</b>의 골프 열풍에 힘입어 골프와 블록체인을 결합한 게임 콘텐츠가 등장했다. 카카오게임즈는 골프 치고 돈을 번다는 이른바 &apos;샷투언&apos;(Shot to Earn) 개념을 적용, 하반기 메타보라의 캐주얼 골프... "
news.xml,54,이구갤러리의 첫 메인전시 브랜드는 <b>MZ세대</b> 선호도가 높은 프렌치 감성의 &apos;마르디 메크르디&apos;다. 이달 전시에는 마르디 메크르디의 FW 신상품도 단독 선공개한다. 또 패브릭포터리·렉슨·엔알세라믹스 등 비슷한 감성의... 
news.xml,55,"제약업계 관계자는 &quot;<b>MZ세대</b>와 소통하는 가장 효과적인 영역이라, 최근 1~2년 간 제약업계가 유튜브 활동을 강화하고 있다&quot;며 &quot;산업에 대한 관심이 높아지면서 제약사 영상을 소비하는 구독자들도 늘었다&quot;고 말했다."
news.xml,56,"잘 이어 가겠다&quot;며 &quot;이번 &apos;하나 밀리언달러 통장&apos; 개설과 연계한 &apos;국제학생증 ISIC 무료 발급 이벤트&apos;를 계기로 <b>MZ세대</b> 수요를 반영한 외환 상품,서비스를 지속적으로 개발하여 제공하도록 노력하겠다&quot;고 말했다."
news.xml,57,<b>MZ세대</b>인 20대와 30대만 따로 떼어 보면 적극적 참여 의사를 밝힌 응답자(‘나도 무엇인가 동참하고 싶다’+‘다른 사람에게도 알려주고 싶다’)가 31.9%에 달한다. <b>MZ세대</b>가 ESG의 중요성을 잘 인식하고 있고... 
news.xml,58,"지난 10일에는 모바일 앱 ‘하나원큐’에서 <b>MZ세대</b>를 위한 모의투자 게임 ‘투자의 마블’ 시즌2를 내놓기도 했다. 신한금융도 통신사 KT와 끈끈한 관계를 유지하고 있다. KT의 데이터분석, 자연어처리(NLP)등의 AI역량과... "
news.xml,59,삼성전자는 갤럭시Z플립4의 주 수요층인 <b>MZ세대</b>를 겨냥해 셀프카메라(셀피) 경험 강화에 주안점을 뒀다. 우선 마치 노트북처럼 원하는 각도를 설정하는 &apos;플렉스 모드&apos;로 원하는 각도를 설정한 뒤 1.9인치 커버(외부)... 
news.xml,60,◆[뉴스분석] 윤핵관 때린 이준석...<b>MZ세대</b> 앞세워 &apos;신보수로 차별화&apos; 시동 이준석 국민의힘 대표는 13일 &quot;여당과 정부에 대한 젊은 세대의 기대치가 &apos;급전직하&apos;(急轉直下)한 것은 여성가족부를 폐지하지 않아서가 아니다... 
news.xml,61,한국정경신문 김영훈 기­자 [한국정경신문(통영)=] 통영 디피랑이 <b>MZ 세대</b>의 사진 찍기 취향을 저격하기 위해 한산대첩축제 개막일에 맞춰 &apos;시크릿 가든&apos;을 조성해 선보이면서 인스타그램 성지로서의 위상을 공고히 해... 
news.xml,62,"앞으로도 잘 이어 가겠다&quot;며, &quot;이번 &apos;하나 밀리언달러 통장&apos; 개설과 연계한 &apos;국제학생증 ISIC 무료 발급 이벤트&apos;를 계기로 <b>MZ세대</b> 수요를 반영한 외환 상품·서비스를 지속적으로 개발해 제공하도록 노력하겠다&quot;고 밝혔다."
news.xml,63,"KBS2TV &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 오는... "
news.xml,64,"◆<b>MZ세대</b>·1인가구 타겟 마케팅…BTS 광고 모델로 통상 렌탈 사용자는 가정에서 사용하기 때문에 나이대가 높은 편으로 여겨졌다. 그러나 최근 20~30대 1인 가구, 신혼부부 등이 늘면서 렌탈을 사용하는 사람들이 늘고... "
news.xml,65,한여름의 전자음악(EDM) 축제 ‘월드 디제이 페스티벌&apos;이 3년 만에 돌아왔다. 공연장을 가득 메운 관객들은 심장을 뛰게 만드는 비트에 맞춰 술과 함께 리듬을 즐겼다. 11~13일 서울 잠실종합운동장 보조경기장 일원에서... 
news.xml,66,"또한 <b>MZ 세대</b>를 위한 틱톡, 인스타그램 등 SNS에서도 홍보를 진행한다. (사진 = 행정안전부) 또한 13일부터 3일간 진행하는 &apos;제 77주년 광복절 경축식 및 연계행사&apos;가 용산 대통령실 잔디마당과 광화문광장, 청화대에서... "
news.xml,67,"<b>MZ세대</b>의 시각으로 높아진 시청자들의 니즈는 무엇인지, 대중에게 호응을 얻거나 불편케 만든 이유는 무엇인지 되짚어 보겠습니다.올해 여름을 강타한 패션은 &apos;로우라이즈&apos;다. &apos;로우라이즈&apos;는 Y2K 패션의 대명사라도... "
news.xml,68,"무엇보다, 수륙양용 전기카트는 운전면허증이나 조정면허 없이도 운행이 가능하고, 컨버터블을 적용한 스포츠카 디자인으로 제작되어 <b>MZ세대</b>의 취향을 저격했다는 평가를 받고 있다. 또한 계절성이 강한 레저관광... "
news.xml,69,"586에 맞선 반대 진영에는 ‘청년=2030=엠제트(<b>MZ</b>)<b>세대</b>=공정성에 민감한 세대=불공정과 위선에 분노하는 세대’를 만들었다. 이렇게 청년세대는 반진보 반민주당의 첨병, 핵심 병기로 동원됐다. 요컨대 지금 한국의... "
news.xml,70,이번에 선보이는 와인은 와인 발효 및 숙성 등 양조과정을 모두 거친 후 전문기술을 통해 알코올만 100% 제거한 무알콜 와인 &apos;퍼플독 제로와인&apos; 4종과 <b>MZ세대</b> 파티와인 &apos;스마일리 와인&apos; 5종으로 모두 세븐앱에서 예약주문 후... 
news.xml,71,지역적 문화를 높이 평가하고 가치소비를 지향하는 <b>MZ세대</b>가 중심이 되어 시장의 변화를 이끌었다고 볼 수 있다. 개인적으로는 수입 쌀로 만든 막걸리를 전통주로 인정한다면 전통주 산업은 퇴행할 수 있다. 무엇보다... 
news.xml,72,"이영지는 지난 2019년 Mnet에서 방영한 ‘고등래퍼3’ 우승자 출신으로, 가장 핫한 <b>MZ세대</b>의 아이콘이기도 하다. 특히, ‘고등래퍼3’의 우승을 이끈 더콰이엇과 이영지가 가장 좋아하는 뮤지션으로 언급한 박재범이... "
news.xml,73,고 최진실의 딸 최준희가 부모님을 닮은 듯 다른 &apos;<b>MZ세대</b>&apos; 미모로 색다른 분위기를 자아냈다. 최준희는 13일 자신의 인스타그램에 &quot;갸륵..하게 생겼다나 뭐라나&quot;라며 사진을 게재했다. 사진에는 손가락으로 얼굴을 누르며... 
news.xml,74,"이영지는 지난 2019년 Mnet에서 방영한 ‘고등래퍼3’ 우승자 출신으로, 가장 핫한 <b>MZ세대</b>의 아이콘이기도 하다. 특히, ‘고등래퍼3’의 우승을 이끈 더콰이엇과, 이영지가 가장 좋아하는 뮤지션으로 언급한 박재범이... "
news.xml,75,"&apos;놀면 뭐하니&apos;는 최고 8.2%의 시청률을 보이며 연일 뜨거운 화제성을 이끈 <b>MZ세대</b>의 대표 예능프로그램이었지만, 최근 &quot;지루해졌다&quot;, &quot;예전같지 않다&quot;는 등의 반응이 나오며 시청률이 하락세에 접어든 바 있다. 지난 6일... "
news.xml,76,"KBS2 ‘자본주의학교’(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 오는... "
news.xml,77,"KBS2TV &apos;자본주의학교&apos;(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제스터디를 담은 예능프로그램으로 <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을 선보인다. 오는... "
news.xml,78,이 대표는 이날 기자회견에서 자신의 지지 기반인 <b>MZ세대</b>(1980년대 초~2000년대 초 출생)를 앞세우면서 이른바 &apos;윤핵관(윤석열 대통령 핵심 관계자)&apos;을 향해 날을 세웠다. 이 대표는 이날 오후 국회 소통관에서 기자회견을... 
news.xml,79,"오는 14일 방송되는 KBS2 ‘자본주의학교’(연출 최승범)는 10대부터 <b>MZ세대</b>까지 요즘 애들의 현실적인 경제 스터디를 담은 예능프로그램. <b>MZ 세대</b>를 위한 재테크 ‘불나방 소셜투자클럽’, 창업도전기 ‘자본주의 식당’을... "
news.xml,80,"이영지는 지난 2019년 Mnet에서 방영한 &apos;고등래퍼3&apos; 우승자 출신으로, 가장 핫한 <b>MZ세대</b>의 아이콘이기도 하다. 특히, &apos;고등래퍼3&apos;의 우승을 이끈 더콰이엇과, 이영지가 가장 좋아하는 뮤지션으로 언급한 박재범이 나란히... "
news.xml,81,"대우건설, 삼성전자도 &apos;유니티&apos;로 <b>MZ세대</b> 공략 나섰다 대우건설도 유니티 엔진을 활용한 가상체험 견본주택 &apos;메타갤러리&apos;를 개발, 지난 4월 정식 서비스를 시작했다. &apos;메타갤러리&apos;는 여타 사이버 모델하우스와 달리 1인칭... "
news.xml,82,"이영지는 지난 2019년 Mnet에서 방영한 ‘고등래퍼3’ 우승자 출신으로, 가장 핫한 <b>MZ세대</b>의 아이콘으로 자리매김했다. 특히 ‘고등래퍼3’의 우승을 이끈 더콰이엇과 이영지가 가장 좋아하는 뮤지션으로 언급한... "
news.xml,83,"로제부대찌개로 <b>MZ세대</b> 스태프, 그중에서도 여성 스태프들의 마음을 완벽하게 사로잡은 류수영은 마지막으로 밥을 추가해 부대 리소토까지 만들었다. 부대찌개 3단 변신을 이뤄낸 것. 류수영의 로제부대찌개는 안주로서도... "
news.xml,84,하나은행 외환마케팅부 관계자는 &quot;지난 20년간 이어진 국제학생증 카드 발급 서비스 제휴를 앞으로도 잘 이어가겠다&quot;며 이번 &apos;하나 밀리언달러 통장&apos; 개설과 연계한 국제학생증 ISIC 무료 발급 이벤트를 계기로 <b>MZ세대</b>... 
news.xml,85,"<b>MZ세대</b>에게 퇴사는 자유, 해방, 새로운 시작이다. 불안이나 백수라는 부정적인 생각을 가진 이들은 거의 무시할 정도다. 이들은 자신의 생각과 가치에 맞지 않으면 언제든 퇴사할 수 있다고 생각한다. 미국만 근로자... "
news.xml,86,젊은 <b>MZ세대</b>의 정치인으로서 이런 것들을 건의해서 대통령이 받아들여서 실행하기로 했다라고 발표를 했는데 왜 거두절미하고 본인의 이름과 본인의 제안을 뺐느냐. 왜 대통령과 본인이 독대했던 사실들을 뺐느냐. 이런 데... 
news.xml,87,특히 <b>MZ 세대</b>를 중심으로 인기가 많은 최신 유행 상품들로 경품이 구성되어 있어 지난해 진행된 시즌 1 이벤트는 당시 참여자 5만명을 넘기기도 했다. 배틀그라운드 모바일에서 접속 후 특별 이벤트 페이지에 인게임... 
news.xml,88,강남역은 삼성전자 등 국내 굴지의 기업 본사가 자리 잡은 곳이고 사통팔달 교통 덕분에 <b>MZ 세대</b>들이 사랑하는 모임의 장소다. 패션과 먹거리가 넘쳐나는 젊음의 거리다. 그런데 집중 폭우 피해의 한복판에 서게 되는... 
news.xml,89,한 인터넷은행 관계자는 &quot;(도전형 적금은) 일반 적금과 달리 목표기간을 마음대로 정하고 매주 차곡차곡 쉽게 모을 수 있어 <b>MZ세대</b>에게 큰 인기&quot;라며 &quot;앞으로도 고객에게 재미와 혜택을 제공할 수 있는 다양한 이벤트를... 
news.xml,90,기사내용 요약 2007년 1월 &apos;일 디보&apos;로 출발…누적관객수 61만명 26번째 앞두고 있어 폴 매카트니·콜드플레이·켄드릭 라마 첫 내한 이끌어 [서울=뉴시스]이재훈 기자 = &apos;<b>MZ세대</b>의 아이콘&apos;으로 통하는 &apos;팝의 여제&apos; 빌리... 
news.xml,91,"또한 인스타그램에서는 한국 남자 셀럽 팔로워 수 1위, 남자 셀럽으로는 유일하게 Hypeauditor의 ‘미국 인플루언서 랭킹 톱10’에 랭크인 하며 <b>MZ세대</b> 막강 소셜 파급력을 짐작케 했다."
news.xml,92,"이 같은 움직임은 <b>MZ세대</b>의 특성과도 맞닿아 있다. 개인적인 것에 대한 소유와 경험을 중시하는 <b>MZ세대</b>에서는 자신만의 하나뿐인 커스텀 제품을 구입하거나, 제작하는 움직임이 거세다. 공연을 통해 얻는 감정 역시... "
