출처,index,내용
news.xml,39,새롭게 선보인 디자인 요소는 제품 퀄리티는 물론 트렌드에 민감한 <b>MZ세대</b> 및 여성 소비자들의 마음까지도 사로잡을 것으로 기대된다. 최상의 퀄리티를 자랑하는 블렌딩과... 
news.xml,40,"군은 행정기관 최초로 시행하는 V컬러링 홍보마케팅을 시작으로 유튜브 디스커버리 배너광고, 장수군 직영 온라인 쇼핑몰 SNS 등 <b>MZ세대</b>를 겨낭한 감성 마케팅도 꾸준히 추진할 계획이다. 최훈식 장수군수는 &quot;청정한... "
news.xml,41,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장했다. 코오롱 관계자는 “대외 불확실성이 높은 상황이지만 산업자재부문의... "
news.xml,42,"SNS 뒷광고나 거짓 후기 등 &apos;눈속임 상술&apos;에 대한 감시를 강화하고, 이른바 &apos;<b>MZ세대</b>&apos;의 관심 분야인 확률형 게임 아이템 등의 불공정행위를 개선합니다. 또, 국민생활과 밀접한 셀프빨래방과 배달앱 등의 불공정약관을... "
news.xml,43,"젊음의 거리 대학로답게 유독 <b>MZ세대</b>들이 상담소에 많이 찾아왔다. 진로 고민, 가족 고민 등 누구한테도 말할 수 없었던 MZ들의 고민에 오은영 박사는 진심으로 위로하고 공감하며 국민 멘토다운 모습을 보여줬다는... "
news.xml,44,"주제로 <b>MZ세대</b>가 주축이 된 전통주의 소비 문화와 메타버스 및 NFT와 연계한 주류문화를 &apos;술술&apos; 재미있게 강의할 예정이다. 이외에도 과월호잡지나눔(군립도서관), 원화·테마전시, 퍼즐그림책 체험, 연체삭제이벤트등... "
news.xml,45,현대백화점 관계자는 &quot;소비심리 회복 영향 등으로 패션·화장품·핸드백 등 매출이 눈에 띄게 늘어나면서 2분기 기준 역대 최대 실적을 기록했다&quot;며 &quot;특히 &apos;더현대서울&apos;은 <b>MZ세대</b> 인기를 얻으면서 오픈 2년차 점포 기준... 
news.xml,46,엠케이엔터테인먼트 대표이사 양시형은 “서희우는 <b>MZ세대</b>들이 좋아하는 트렌디한 마스크와 꾸준한 작품활동을 통해 다져진 탄탄한 연기력으로 대중들에게 찾아 뵐 예정이다. 소속사의 체계적인 지원으로 서희우의... 
news.xml,47,"한편, 동아오츠카의 저칼로리 수분보충음료 포카리스웨트 이온워터는 2030세대 골퍼 증가 트렌드와 <b>MZ세대</b>의 운동 크루 문화를 반영해 지난 2020년부터 골프크루 &apos;버디온(#BUDDION)&apos;을 2년 연속 운영해왔다. 올해는... "
news.xml,48,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장했다. 코오롱 관계자는 “대외 리스크가 높은 불확실한 상황이지만 산업자재부문의... "
news.xml,49,신한금융투자는 올해 창립 20주년을 맞아 본사 사옥 매각을 통한 자본 확충과 <b>MZ세대</b>(1980년대 초∼2000년대 초 출생) 직원들로 구성된 주니어보드의 ‘콘클라베’ 경영 참여 등 혁신을 추진하고 있다.
news.xml,50,"앞서 윤홍근 BBQ 회장이 신년사에 2022년을 블록체인, NFT, 메타버스 등 디지털 트랜스포메이션의 원년으로 삼겠다는 것과 <b>MZ세대</b>, 글로벌 시장 공략을 위한 전략 수립의 일환과도 맞닿아 있다. 이미 BBQ는 서울 종로... "
news.xml,51,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장했다. 코오롱 관계자는 “대외 불확실성이 크지만 산업자재부문의 호실적과... "
news.xml,52,<b>MZ세대</b> 여성 패션앱을 대표하는 브랜디의 지속적인 성장을 이끄는 가운데 하이버가 올 상반기 전년 대비 50% 성장하며 누적거래액 3000억원을 달성해 남성 패션앱 1위를 달리고 있다. 브랜드 패션 플랫폼 서울스토어는... 
news.xml,53,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장을 이루어냈다. 회사 측은 &quot;대외 리스크가 높은 불확실한 상황이지만... "
news.xml,54,"업계 관계자는 &quot;다년간 이어진 빚투 열풍이 지나가고 최근에는 <b>MZ세대</b>를 중심으로 맨땅에 헤딩식 투자가 아닌, 소액을 통해서 검증된 자산과 체계를 가진 현물에 조각투자를 하는 방안이 떠오르고 있어 앞으로도 조각투자... "
news.xml,55,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장했다. 코오롱 관계자는 &quot;대외 불확실성이 크지만 산업자재부문의 호실적과... "
news.xml,56,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장을 이루어냈다. 회사 측은 대외 리스크가 높은 불확실한 상황이지만... "
news.xml,57,"최근 SNS 비대면 소통에 익숙한 <b>MZ세대</b> 팬들이 아티스트와의 언택트 커뮤니케이션에서 대면 소통 못지 않은 즐거움을 느끼는 가운데, 참신한 기획의 원더케이 오리지널들이 팬심을 저격하며 콘텐츠 기반 소통 트렌드를... "
news.xml,58,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장했다. 코오롱은 대외 리스크가 높은 상황에서 산업자재 부문의 호실적과... "
news.xml,59,전 세계 <b>MZ세대</b>가 가장 사랑하는 아티스트로 손꼽히는 빌리 아일리시가 광복절에 맞춰 한국을 찾았다. 코로나19(COVID-19)로 침체된 한국 공연시장에 새 활기를 불어 넣어줄 현대카드의 &apos;슈퍼콘서트&apos;가 선택한 스물... 
news.xml,60,수수료’ ‘불투명한 검색 노출 기준’ ‘짝퉁유통’과 ‘리뷰조작’ 등에 대해 개선안을 논의하겠다고 밝혔다. <b>MZ세대</b> 관심 분야(게임 아이템·명품 커머스 등)에서 벌어지는 불공정 행위를 시정하겠다는 내용도 담겼다.
news.xml,61,"지분법 적용 자회사인 코오롱인더스트리는 &quot;산업자재 부문은 타이어코드와 아라미드가 캐시카우 역할을 담당하며 견조한 실적을 이뤄냈으며 패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프... "
news.xml,62,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장을 달성했다. 코오롱 관계자는 “대외 리스크가 높은 불확실한 상황이지만... "
news.xml,63,"5월 론칭한 젝시믹스 골프도 차별화된 디자인과 기능, 합리적인 가격대를 선보이며 <b>MZ세대</b>들에게 큰 인기를 끌었다. 출시 후 두 달간 약 20억원대의 매출을 올리며 시장에 안정적으로 진입했다는 평가다. 해외법인의... "
news.xml,64,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 증가했다. 회사 측은 대외 리스크가 높은 불확실한 상황이지만 산업자재 부문의 호실적과... "
news.xml,65,하지만 판매량이 저조한 모하비와 달리 레이는 <b>MZ세대</b>의 차박용으로 인기가 높다. 한국자동차산업협회에 따르면 레이는 지난해 판매량이 전년 대비 26%가 늘어난 3만 5956대를 기록하면서 모닝(3만 530대)을 제치고... 
news.xml,66,"패션 부문은 코오롱스포츠의 상품 경쟁력 강화와 <b>MZ세대</b> 고객 증가, 골프 브랜드와 신규 브랜드의 성장으로 매출과 이익률 모두 성장을 이뤄냈다.회사 측은 대외 리스크가 높은 불확실한 상황이지만 산업자재부문의... "
news.xml,67,"아울러 선물하기 탭 내 &apos;핸드메이드&apos;, &apos;미식상회&apos;, &apos;플라워숍&apos;, &apos;스몰럭셔리&apos; 등 다양한 전문관을 만들어 <b>MZ세대</b>의 취향을 공략하는 테마별 선물하기 코너를 지속적으로 선보이고 있다. 쿠팡도 지난 2020년 로켓 선물하기... "
news.xml,68,"5월 론칭한 젝시믹스 골프도 차별화된 디자인과 기능, 합리적인 가격대를 선보이며 <b>MZ세대</b>들에게 큰 인기를 끌었다. 출시 후 두 달간 약 20억원대의 매출을 올리며 시장에 안정적으로 진입했다는 평가다.... "
news.xml,69,신한금융투자는 사명 변경과 함께 △본사 사옥 매각을 통한 대대적인 자본 확충 △<b>MZ세대</b> 직원들로 구성된 주니어보드의 콘클라베 경영 참여 등으로 전사적인 혁신을 추진하고 있다.
news.xml,70,주요 내용으로는 <b>MZ세대</b> 직원과 소방관서장이 만나 세대 간 가치를 공유하고 이해할 수 있는&apos;리버스 멘토링&apos;제도를 운영하도록 하고 있다. 또 &apos;갑질&apos;과 &apos;직장 내 괴롭힘&apos; 문제를 원천적으로 차단·근절하기 위해 익명성... 
news.xml,71,"김지연 롯데홈쇼핑 상품개발부문장은 “이른 추석으로 패션 브랜드의 가을·겨울 시즌 신상품 론칭을 작년보다 앞당겼다”며 “패션 소비 회복세에 맞춰 기존 브랜드를 리뉴얼하고, 2030<b>세대</b>를 타깃으로 한 신규 브랜드... "
news.xml,72,"하지만 오랜 시간이 흐르면서 브랜드가 노후화돼 최근엔 <b>MZ세대</b>의 선택을 받지 못하는 추세로 알려졌다. 롯데주류는 젊은층이 선호할 만한 새로운 소주 개발이 필요하다고 판단했고, 약 1년의 제품 개발 과정을 거쳐... "
news.xml,73,"600여 개 브랜드와 <b>MZ세대</b>의 라이프 스타일을 반영한 다양한 상품 판매 이복현 기자, 카카오스타일(Kakao Style, 대표 서정훈)의 커머스 플랫폼 지그재그가 가구, 가전, 조명, 패브릭, 홈데코 등 라이프 상품들을 모아... "
news.xml,74,진천군은 디지털 환경에 익숙하고 최신 트랜드를 추구하는 경향의 <b>MZ세대</b> 구성원 비율이 최근 증가하는 추세를 반영해 민선 8기 출범과 동시에 &apos;불합리한 관행 개선과제 발굴&apos; 작업을 진행했다. 군은 모두 26건의 개선... 
news.xml,75,홍창표 KOTRA 중국 본부장도 &quot;중국 시장 변화에 따른 맞춤형 진출 방안 수립이 중요하다&quot;며 &quot;<b>MZ세대</b> 등 중국 주요 소비층의 변화를 이해하고 중국 디지털 경제의 트렌드를 관찰하고 대응하려는 노력을 꾸준히 해야... 
news.xml,76,<b>MZ세대</b>(밀레니얼+Z세대) CEO로 주목받은 최수연 네이버 대표는 상반기에 7억9900만원을 수령했다. 상반기 급여는 3억원이었지만 지난해 글로벌사업지원 리더로서 성과급 약 5억원이 반영됐다. 상반기 네이버... 
news.xml,77,"한편, 올해로 창립 20주년을 맞은 신한금융투자는 본사 사옥 매각을 통한 대대적인 자본 확충, <b>MZ 세대</b> 젊은 직원들로 구성된 주니어보드의 콘클라베 경영 참여, 사명 변경 등을 통해 대한민국 자본시장 대표 증권사로... "
news.xml,78,▲ 통영 디피랑 시크릿가든 /통영관광개발공사 통영 디피랑이 <b>MZ 세대</b>의 사진 찍기 취향을 저격하기 위해 한산대첩축제 개막일에 맞춰&apos;시크릿 가든&apos;을 조성해 선보이면서 인스타그램 성지로서의 위상을 공고히 해나가고... 
news.xml,79,다음달 16일까지 진행하는 이번 행사에서는 <b>MZ세대</b>가 선호하는 MBTI 성향에 따라 화장품을 추천해 주고 특별한 할인 혜택을 제공한다. 이번 프로모션에서는 프리미엄 뷰티 브랜드인 ‘지방시 뷰티’ ‘프레쉬’... 
news.xml,80,"군은 최근 <b>MZ세대</b> 구성원 비율이 증가하는 추세에 따라 그간의 조직문화를 되돌아보고, 불합리하거나 비효율적인 관행을 발굴하고 이를 타파하기 위한 개선방안을... "
news.xml,81,"군은 행정기관 최초로 시행하는 V컬러링 홍보마케팅을 시작으로 유튜브 디스커버리 배너광고, 장수군 직영 온라인 쇼핑몰 SNS 등 <b>MZ세대</b>를 겨낭한 감성 마케팅도 꾸준히 추진할 계획이다. 최훈식 장수군수는 &quot;청정한... "
news.xml,82,"그는 “주로 <b>MZ 세대</b>(밀레니얼+Z 세대·1981~2010년생)로 보이는 청년들이 많은데, 직장인이나 대학생이 많이 보인다”고 덧붙였다.상권이 살아나면서 연남동 일대의 부동산 시장도 들썩이고 있다. 인근 E부동산 관계자는... "
news.xml,83,고객&apos;과 <b>MZ세대</b>들이 라이프스타일을 즐길 수 있는 랜드마크 입지를 강화할 계획이다. 우선 올해 최고의 인기 캐릭터 중 하나인 &apos;벨리곰&apos;이 동탄점 오픈 1주년을 맞아 찾아온다. 18일부터 9월 12일까지 새롭게 출시된... 
news.xml,84,<b>MZ세대</b> 젊은피도 비대위에 수혈됐다. 이소희 세종시의원과 최재민 강원도의원은 각각 1986년·1988년생이다. 주 위원장은 &quot;이소희 변호사는 청소년기에 불의의 의료사고로 휠체어를 타는 어려움에도 불구하고 로스쿨을... 
news.xml,85,- 김수경 제이더블유에프앤비 대표 인터뷰 코로나 팬데믹 기간에도 꾸준히 매장 오픈을 이어가며 고급스러운 인테리어와 합리적인 메뉴로 2030 <b>MZ세대</b>의 가심비를 공략해 각 지역 대표 핫플레이스로 등극한 브랜드가... 
news.xml,86,"이코노미조선=박순욱 조선비즈 선임기자 | 김보성 부국상사 대표 전 롯데아사히주류 근무,전 LG상사 트윈와인 근무 사진  “<b>MZ 세대</b>(밀레니얼+Z 세대·1981~2010년생)가 왜 요즘 증류식 소주 같은 전통주에 열광하는 줄... "
news.xml,87,인공지능(AI)·메타버스 등 신기술을 활용한 교육법은 물론이고 <b>MZ세대</b> 장병 특성을 고려한 ‘참여형·행동화 교육’이 새로운 대세로 자리 잡고 있다. 새로운 정신전력교육은 시청각자료에 의존하는 대신 장병들이 직접... 
news.xml,88,지난해 초 일명 &apos;<b>MZ 세대</b>&apos;라 불리는 젊은 세대 직원들 사이에서 불거졌던 성과급 이슈에 대해 최 회장이 답변에 나선 한 방편이었다. 지난해 연봉분 반납으로 올해 상반기에 반영될 성과급은 없었다. 따라서 최... 
news.xml,89,"구미시설공단은 최근 ESG 혁신 아이디어 발굴, 상향식 의견 표출 및 수평적 대화, 조직문화 개선 등을 전담할 <b>MZ세대</b> 실무자 12명으로 구성한 ‘제2기 ESG 혁신 주니어보드 발대식’을 가졌다."
news.xml,90,"‘지락실’은 새로운 <b>MZ세대</b>를 기용해 제작진과의 권력관계 역전 등 예상을 뒤어넘는 재미를 선사하고 있으며, 안유진이나 이영지가 “영석이 형”이라고 부르기만 해도 웃기는 예능이다. ‘환승연애2’ 분위기 반전의 큰... "
news.xml,91,클라우드 게임부터 넷플릭스 등 각종 OTT 시청까지 연동해 <b>MZ세대</b>의 UX가 적극 고려된 제품으로 보인다. 향후 이용자 수요를 고려해 확장된 크기의 제품 출시도 염두에 두고 있다. 삼성전자는 16일 서울 중구에... 
news.xml,92,이탈리아어 등 총 8개 언어로 전세계에 생중계된다. 신영섭 JW중외제약 대표는 &quot;우리나라 e스포츠 발전에 기여하는 동시에 <b>MZ세대</b>를 포함한 폭넓은 세대의 LoL 팬들에게 JW중외제약 브랜드를 알리겠다&quot;고 말했다.
news.xml,93,"이날 활동 우수 팀으로 선정된 3개 워크스테이션 중 &apos;파동&apos;은 SNS의 파급력과 <b>MZ세대</b>의 가치 소비 경향에 주목해 실종아동 문제를 해결하는 워크스테이션으로, CU와 협력해 실종아동의 정보를 대중에게 알림으로써... "
news.xml,94,"이외에도 <b>MZ세대</b>들이 가장 만나고 싶어하는 가수 사이먼 도미닉, GRAY, 넉살, 작사가 김이나, 개그맨 김해준 등 셀럽들이 출연, 다양한 토크와 공연을 즐길 수 있는 원더플립 토크콘서트를 9월 30일과 10월 1일, 이틀간... "
news.xml,95,"지그재그 라이프관은 인테리어 소품, 가구, 가전, 디지털기기, 펫, 캠핑, 레저 등 <b>MZ세대</b>의 라이프 스타일을 반영한 상품군을 선보이는 코너다. &apos;삼성전자&apos;, &apos;소니&apos;, &apos;로지텍&apos;, &apos;브리츠&apos;, &apos;마켓비&apos;, &apos;락앤락&apos;, &apos;스탠리&apos;, &apos;일리... "
news.xml,96,실제로 올해 1분기 대한상공회의소가 발표한 <b>MZ세대</b> 설문 조사에 따르면 응답자의 65.4%가 비싸더라도 ESG 실천 기업의 제품을 구매할 의향이 있다고 답했다. 응답자의 13.2%는 기업의 바람직한 역할로 환경보호를 꼽기도... 
news.xml,97,제품에 대해 깊이 있게 알아가는 과정을 하나의 놀이로 여기는 <b>MZ세대</b>들 사이에서는 디지털과 오프라인을 융합한 새로운 콘셉트의 매장을 찾아다니 것이 하나의 트랜드로 자리잡히고 있는 추세다. &apos;앉는 경험&apos;의 시작... 
